source_id,case_label,branch_name,mean_q_enthalpy_w,mean_q_wall_total_w,mean_q_intended_transfer_w,mean_q_external_or_loss_w,mean_q_sink_or_cooling_w,mean_q_junction_or_unresolved_w,mean_q_residual_w,fit_use_status
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,right_leg,-211.0928619229352,-25.19332792344757,nan,-25.193327923447573,nan,8.881784197001252e-16,-185.89953399948763,excluded
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,test_section_span,13.140984417138451,-12.571890333255878,-10.243083663439183,-2.3288066698166965,-10.243083663439183,0.0,25.712874750394327,sensitivity_only
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,upcomer,3.002366161891973,-32.18795319224608,-10.243083663439183,-21.944869528806894,-10.243083663439183,0.0,35.190319354138055,sensitivity_only
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,upper_leg,164.9148390866165,-164.25828314220226,-150.769638716747,-13.48864442545538,-150.769638716747,0.0,329.1731222288188,excluded
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_lower_leg,-6.771647092090852,-9.066437777470403,nan,-9.066437777470403,nan,0.0,2.2947906853795503,fit_used
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_upper_leg,-4.277063944080178,-10.560604292386138,nan,-10.560604292386138,nan,0.0,6.283540348305962,sensitivity_only
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,lower_leg,-164.87116245976998,237.76617487942764,273.155918615702,-7.302417398995971,0.0,-28.087326337278334,-402.63733733919764,excluded
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,right_leg,-209.80200430207452,-25.267205786100323,nan,-25.267205786100323,nan,0.0,-184.53479851597422,excluded
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,test_section_span,11.614192321371391,-12.59831144623183,-10.267828351382356,-2.330483094849481,-10.267828351382356,0.0,24.212503767603224,sensitivity_only
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,upcomer,0.5654812852003612,-32.225353516088376,-10.267828351382356,-21.957525164706023,-10.267828351382356,0.0,32.79083480128874,sensitivity_only
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,upper_leg,165.06880102091924,-164.29687088794148,-150.76963865322176,-13.527232234719857,-150.76963865322176,0.0,329.3656719088607,excluded
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,left_lower_leg,-6.3506841161270815,-10.147643442709944,nan,-10.147643442709944,nan,0.0,3.7969593265828623,sensitivity_only
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,left_upper_leg,-5.946513462517215,-11.723762250317673,nan,-11.723762250317673,nan,0.0,5.77724878780046,sensitivity_only
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,lower_leg,-184.62619021720326,270.50168806960636,310.5928059564901,-8.125180707202293,0.0,-31.965937179681447,-455.1278782868096,excluded
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,right_leg,-233.92716090727646,-28.005828945291405,nan,-28.005828945291405,nan,0.0,-205.92133196198506,excluded
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,test_section_span,19.571863669063074,-19.109019247182776,-16.520818397151242,-2.5882008500315163,-16.520818397151242,0.0,38.68088291624585,sensitivity_only
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,upcomer,7.274666090418776,-40.9804249402104,-16.520818397151242,-24.45960654305913,-16.520818397151242,0.0,48.25509103062917,sensitivity_only
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,upper_leg,184.9087871907082,-184.25222214022142,-169.2268136804882,-15.02540845973312,-169.2268136804882,0.0,369.1610093309296,excluded
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,left_lower_leg,-7.07641380233345,-10.132710192441246,nan,-10.132710192441246,nan,0.0,3.056296390107798,sensitivity_only
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,left_upper_leg,-5.210176646810817,-11.747055532004902,nan,-11.747055532004902,nan,0.0,6.536878885194083,sensitivity_only
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,lower_leg,-185.12036495947802,270.37663443532523,310.48721123843234,-8.143367527312895,0.0,-31.967209275794175,-455.49699939480325,excluded
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,right_leg,-235.1658444782988,-28.087767030135076,nan,-28.087767030135076,nan,-1.7763568394002505e-15,-207.0780774481637,excluded
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,test_section_span,17.67196814396021,-19.13600475931388,-16.54611871962787,-2.5898860396860046,-16.54611871962787,0.0,36.80797290327409,sensitivity_only
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,upcomer,5.385377694815945,-41.01577048376003,-16.54611871962787,-24.469651764132152,-16.54611871962787,0.0,46.40114817857597,sensitivity_only
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,upper_leg,185.31549122488533,-184.28290383734094,-169.22681524358194,-15.056088593758895,-169.22681524358194,0.0,369.5983950622263,excluded
