source_id,case_label,time_s,span_name,bin_index,selection_status,stored_bulk_temp_flow_weighted_k,stored_bulk_temp_area_weighted_k,exact_bulk_temp_flow_weighted_k,exact_bulk_temp_cp_weighted_k,exact_bulk_temp_area_weighted_k,delta_exact_minus_stored_flow_k,delta_exact_flow_minus_stored_flow_k,delta_exact_cp_minus_exact_flow_k
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,26,aligned_area_match,315.6125906689456,315.3861395281322,315.6125892437654,315.61259413608985,315.3861395281322,3.467144267688127e-06,-1.4251801871978387e-06,4.892324454885966e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,27,aligned_area_match,315.6181603890281,315.3890860617568,315.61815895237686,315.61816387751645,315.3890860617568,3.488488346192753e-06,-1.4366512459673686e-06,4.9251395921601215e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,28,aligned_area_match,315.62460869670224,315.392538584975,315.62460723567784,315.6246122380379,315.392538584975,3.541335672707646e-06,-1.4610243965762493e-06,5.0023600692838954e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,29,aligned_area_match,315.62991798683964,315.394811759761,315.62991647891107,315.62992163693195,315.394811759761,3.6500923101812077e-06,-1.5079285731189884e-06,5.158020883300196e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,30,aligned_area_match,315.63366153947584,315.39575204325837,315.6336599825371,315.6336653027754,315.39575204325837,3.763299559977895e-06,-1.5569387414871017e-06,5.320238301464997e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,31,aligned_area_match,315.6386716892394,315.39779391952163,315.6386701125779,315.63867549308685,315.39779391952163,3.8038474485802e-06,-1.5766614751555608e-06,5.380508923735761e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,32,aligned_area_match,315.64334070753733,315.3989958013464,315.6433390998368,315.64334458061506,315.3989958013464,3.873077730531804e-06,-1.6077005398074107e-06,5.480778270339215e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,33,aligned_area_match,315.6471025062512,315.399326286219,315.64710087077754,315.647106442033,315.399326286219,3.935781819563999e-06,-1.6354736658286129e-06,5.571255485392612e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,34,aligned_area_match,315.6500138086689,315.40470645924546,315.65001215587284,315.6500177827854,315.40470645924546,3.9741165096529585e-06,-1.6527960724488366e-06,5.626912582101795e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,35,aligned_area_match,315.65206595471335,315.4287378244244,315.6520643034057,315.6520699217274,315.4287378244244,3.967014038153138e-06,-1.6513076275259664e-06,5.618321665679105e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,36,aligned_area_match,315.65204921784124,315.48998449170483,315.6520476018784,315.65205309412573,315.48998449170483,3.876284495163418e-06,-1.6159628444256668e-06,5.492247339589085e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,37,aligned_area_match,315.6530079202584,315.5544969940913,315.6530065982951,315.65301107024453,315.5544969940913,3.1499861279371544e-06,-1.321963281952776e-06,4.47194940988993e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,38,aligned_area_match,315.66749298647983,315.60483919302413,315.667492038757,315.66749523005916,315.60483919302413,2.243579331207002e-06,-9.477228104515234e-07,3.1913021416585252e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,upper_leg,0,aligned_area_match,315.62812354584077,315.6382206915659,315.62812320847496,315.6281243514274,315.6382206915659,8.05586637397937e-07,-3.373658046257333e-07,1.1429524420236703e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,upper_leg,1,aligned_area_match,315.5893862262069,315.5459890244046,315.58938585545224,315.58938711914357,315.5459890244046,8.929366686061257e-07,-3.707546625264513e-07,1.263691331132577e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,upper_leg,2,aligned_area_match,315.56355856447937,315.53827046420525,315.5635582333161,315.5635593620416,315.53827046420525,7.975622224876133e-07,-3.3116327813331736e-07,1.1287255006209307e-06
